"DRUG_NAME","name","category","company","year"
"ABRAXANE","Abraxane (paclitaxel protein-bound particles for injectable suspension)","FamilyMedicine, Oncology, Pulmonary/RespiratoryDiseases","Celgene ","2012"
"ABSTRAL","Abstral (fentanyl sublingual tablets)","FamilyMedicine, Neurology, Oncology","ProStrakan ","2011"
"ACTEMRA","Actemra (tocilizumab), Actemra (ocilizumab)","Musculoskeletal, Pediatrics/Neonatology, Rheumatology, FamilyMedicine","Genentech ","2011, 2013"
"ADEMPAS","Adempas (riociguat)","Cardiology/VascularDiseases, Pulmonary/RespiratoryDiseases","Bayer Healthcare Pharmaceuticals ","2013"
"AFINITOR","Afinitor (everolimus)","Endocrinology, FamilyMedicine, Gastroenterology, InfectionsandInfectiousDiseases, Oncology, Nephrology, Obstetrics/Gynecology(Women’sHealth)","Novartis ","2011, 2012"
"AUBAGIO","Aubagio (teriflunomide)","FamilyMedicine, Musculoskeletal","Sanofi Aventis ","2012"
"BELVIQ","Belviq (lorcaserin hydrochloride)","Endocrinology, NutritionandWeightLoss","Arena Pharmaceuticals ","2012"
"BENLYSTA","Benlysta (belimumab)","FamilyMedicine, Immunology","Human Genome Sciences ","2011"
"BOSULIF","Bosulif (bosutinib)","Hematology, Oncology","Pfizer ","2012"
"BREO ELLIPTA","Breo Ellipta (fluticasone furoate and vilanterol inhalation powder)","Devices, FamilyMedicine, Pulmonary/RespiratoryDiseases","GlaxoSmithKline ","2013"
"BRILINTA","Brilinta (ticagrelor)","Cardiology/VascularDiseases","AstraZeneca ","2011"
"BRINTELLIX","Brintellix (vortioxetine)","Psychiatry/Psychology","Takeda Pharmaceuticals USA ","2013"
"BYDUREON","Bydureon (exenatide extended-release for injectable suspension)","Endocrinology, FamilyMedicine, NutritionandWeightLoss","Amylin ","2012"
"COMETRIQ","Cometriq (cabozantinib)","Endocrinology, FamilyMedicine, Oncology","Exelixis ","2012"
"COMPLERA","Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate)","FamilyMedicine, Immunology, InfectionsandInfectiousDiseases","Gilead ","2011"
"CYSTARAN","Cystaran (cysteamine hydrochloride)","FamilyMedicine, InfectionsandInfectiousDiseases, Ophthalmology","Sigma Tau Pharmaceuticals ","2012"
"DALIRESP","Daliresp (roflumilast)","FamilyMedicine, Immunology, Pediatrics/Neonatology, Pulmonary/RespiratoryDiseases","Forest Pharmaceuticals ","2011"
"DIFICID","Dificid (fidaxomicin)","FamilyMedicine, Gastroenterology, Immunology, InfectionsandInfectiousDiseases","Optimer Pharmaceuticals ","2011"
"DUEXIS","Duexis (ibuprofen and famotidine)","FamilyMedicine, Gastroenterology, Hepatology(Liver,Pancreatic,GallBladder), Musculoskeletal, Rheumatology","Horizon Pharma ","2011"
"DYMISTA","Dymista (azelastine hydrochloride and fluticasone propionate)","FamilyMedicine, InfectionsandInfectiousDiseases, Otolaryngology(Ear,Nose,Throat), Pulmonary/RespiratoryDiseases","Meda Pharmaceuticals Inc ","2012"
"EDARBI","Edarbi (azilsartan medoxomil)","Cardiology/VascularDiseases, FamilyMedicine","Takeda ","2011"
"EDARBYCLOR","Edarbyclor (azilsartan medoxomil and chlorthalidone)","Cardiology/VascularDiseases, FamilyMedicine","Takeda ","2011"
"EDURANT","Edurant (rilpivirine)","FamilyMedicine, Immunology, InfectionsandInfectiousDiseases","Tibotec ","2011"
