"category","name","company"
"Cardiology/VascularDiseases","Brilinta (ticagrelor)","AstraZeneca "
"Cardiology/VascularDiseases","Edarbi (azilsartan medoxomil)","Takeda "
"Cardiology/VascularDiseases","Edarbyclor (azilsartan medoxomil and chlorthalidone)","Takeda "
"Cardiology/VascularDiseases","Xarelto (rivaroxaban)","Janssen Pharmaceuticals "
"Cardiology/VascularDiseases","Xarelto (rivaroxaban)","Bayer "
"Dermatology","Firazyr (icatibant)","Shire Pharmaceuticals "
"Dermatology","Gralise (gabapentin)","Abbott Laboratories "
"Dermatology","laViv (azficel-T)","Fibrocell Science "
"Dermatology","Sylatron (peginterferon alfa-2b)","Merck "
"Dermatology","Yervoy (ipilimumab)","Bristol-Myers Squibb "
"Dermatology","Zelboraf (vemurafenib)","Roche "
"Endocrinology","Afinitor (everolimus)","Novartis "
"Endocrinology","Juvisync (sitagliptin and simvastatin)","Merck "
"Endocrinology","Sutent (sunitinib malate)","Pfizer "
"Endocrinology","Tradjenta (linagliptin)","Boehringer Ingelheim "
"FamilyMedicine","Abstral (fentanyl sublingual tablets)","ProStrakan "
"FamilyMedicine","Afinitor (everolimus)","Novartis "
"FamilyMedicine","Anturol (oxybutynin) Gel","Antares Pharma "
"FamilyMedicine","Arcapta (indacaterol maleate inhalation powder)","Novartis "
"FamilyMedicine","Benlysta (belimumab)","Human Genome Sciences "
"FamilyMedicine","Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate)","Gilead "
"FamilyMedicine","Daliresp (roflumilast)","Forest Pharmaceuticals "
"FamilyMedicine","Dificid (fidaxomicin)","Optimer Pharmaceuticals "
"FamilyMedicine","Duexis (ibuprofen and famotidine)","Horizon Pharma "
"FamilyMedicine","Edarbi (azilsartan medoxomil)","Takeda "
"FamilyMedicine","Edarbyclor (azilsartan medoxomil and chlorthalidone)","Takeda "
"FamilyMedicine","Edurant (rilpivirine)","Tibotec "
"FamilyMedicine","Exparel (bupivacaine liposome injectable suspension)","Pacira Pharmaceuticals "
"FamilyMedicine","Eylea (aflibercept)","Regeneron Pharmaceuticals "
"FamilyMedicine","Ferriprox (deferiprone)","Apotex "
"FamilyMedicine","Firazyr (icatibant)","Shire Pharmaceuticals "
"FamilyMedicine","Gralise (gabapentin)","Abbott Laboratories "
"FamilyMedicine","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"FamilyMedicine","Intermezzo (zolpidem tartrate sublingual tablet)","Transcept Pharmaceuticals "
"FamilyMedicine","Juvisync (sitagliptin and simvastatin)","Merck "
"FamilyMedicine","Lazanda (fentanyl citrate) nasal spray","Archimedes "
"FamilyMedicine","Makena (hydroxyprogesterone caproate injection)","Hologic "
"FamilyMedicine","Nulojix (belatacept)","Bristol-Myers Squibb "
"FamilyMedicine","Onfi (clobazam)","Lundbeck "
"FamilyMedicine","Oxecta (oxycodone HCl)","Pfizer "
"FamilyMedicine","Potiga (ezogabine)","Valeant Pharmaceuticals "
"FamilyMedicine","Soliris (eculizumab)","Alexion "
"FamilyMedicine","Sutent (sunitinib malate)","Pfizer "
"FamilyMedicine","Sylatron (peginterferon alfa-2b)","Merck "
"FamilyMedicine","Tradjenta (linagliptin)","Boehringer Ingelheim "
"FamilyMedicine","Vandetanib (vandetanib)","AstraZeneca "
"FamilyMedicine","Viibryd (vilazodone hydrochloride)","Clinical Data "
"FamilyMedicine","Xalkori (crizotinib)","Pfizer "
"FamilyMedicine","Xarelto (rivaroxaban)","Bayer "
"FamilyMedicine","Xarelto (rivaroxaban)","Janssen Pharmaceuticals "
"FamilyMedicine","Yervoy (ipilimumab)","Bristol-Myers Squibb "
"FamilyMedicine","Zelboraf (vemurafenib)","Roche "
"FamilyMedicine","Zytiga (abiraterone acetate)","Centocor Ortho Biotech "
"Gastroenterology","Afinitor (everolimus)","Novartis "
"Gastroenterology","Dificid (fidaxomicin)","Optimer Pharmaceuticals "
"Gastroenterology","Duexis (ibuprofen and famotidine)","Horizon Pharma "
"Gastroenterology","Incivek (telaprevir)","Vertex Pharmaceuticals "
"Gastroenterology","Rectiv (nitroglycerin) ointment 0.4%","ProStrakan "
"Gastroenterology","Sutent (sunitinib malate)","Pfizer "
"Gastroenterology","Victrelis (boceprevir)","Merck "
"GeneticDisease","Eylea (aflibercept)","Regeneron Pharmaceuticals "
"GeneticDisease","Ferriprox (deferiprone)","Apotex "
"GeneticDisease","Onfi (clobazam)","Lundbeck "
"GeneticDisease","Potiga (ezogabine)","Valeant Pharmaceuticals "
"Hematology","Adcetris (brentuximab vedotin)","Seattle Genetics "
"Hematology","Erwinaze (asparaginase Erwinia chrysanthemi)","Eusa Pharma "
"Hematology","Ferriprox (deferiprone)","Apotex "
"Hematology","Jakafi (ruxolitinib)","Incyte "
"Hematology","Soliris (eculizumab)","Alexion "
"Hematology","Xarelto (rivaroxaban)","Bayer "
"Hepatology(Liver,Pancreatic,GallBladder)","Duexis (ibuprofen and famotidine)","Horizon Pharma "
"Hepatology(Liver,Pancreatic,GallBladder)","Incivek (telaprevir)","Vertex Pharmaceuticals "
"Hepatology(Liver,Pancreatic,GallBladder)","Victrelis (boceprevir)","Merck "
"Immunology","Arcapta (indacaterol maleate inhalation powder)","Novartis "
"Immunology","Benlysta (belimumab)","Human Genome Sciences "
"Immunology","Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate)","Gilead "
"Immunology","Daliresp (roflumilast)","Forest Pharmaceuticals "
"Immunology","Dificid (fidaxomicin)","Optimer Pharmaceuticals "
"Immunology","Edurant (rilpivirine)","Tibotec "
"Immunology","Firazyr (icatibant)","Shire Pharmaceuticals "
"Immunology","Gralise (gabapentin)","Abbott Laboratories "
