"NPPES_PROVIDER_STATE","bNotG"
"AA",0.275563258232236
"AE",0.265912962676165
"AK",0.296854527025357
"AL",0.30599395139215
"AP",0.239965472593871
"AR",0.294830468503987
"AS",0.179580674567001
"AZ",0.272614456801632
"CA",0.294965781083816
"CO",0.271040617167998
"CT",0.306737011345723
"DC",0.31467394994116
"DE",0.319496095092497
"FL",0.292606403148396
"GA",0.316400748054992
"GU",0.216582804637935
"HI",0.30120573792471
"IA",0.266460650016968
"ID",0.276906517258972
"IL",0.293266150568868
"IN",0.318252456669953
"KS",0.292727350625438
"KY",0.308086160383196
"LA",0.323845464087641
"MA",0.246648564039717
"MD",0.289005117374967
"ME",0.274324295586313
"MI",0.302883429760553
"MN",0.255717975715726
"MO",0.298325909746775
"MP",0.187903592542065
"MS",0.313775176617017
"MT",0.275517960336469
"NC",0.311329216451581
"ND",0.27131996661835
"NE",0.272714766692936
"NH",0.271171037138962
"NJ",0.338343745943867
"NM",0.26090168769896
"NV",0.276348616334163
"NY",0.323563190152431
"OH",0.299453704777477
"OK",0.306156349462765
"OR",0.260442240848232
"PA",0.299968287606308
"PR",0.241607956580065
"RI",0.265246716039794
"SC",0.322465146406077
"SD",0.270776675634944
"TN",0.302788979649992
"TX",0.324146258493152
"UT",0.284980483089521
"VA",0.289624991151422
"VI",0.310059309014256
"VT",0.27234204063407
"WA",0.261594091047396
"WI",0.272737050382696
"WV",0.31510150305196
"WY",0.275209270245002
"XX",0.136767317939609
"ZZ",0.291644711219043
